[29-Apr-2022 09:38:33 UTC] PHP Parse error:  syntax error, unexpected '?>' in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\templates\front\vendor-list.php on line 35
[29-Apr-2022 10:16:29 UTC] PHP Warning:  exif_read_data(album-1.jpg): Incorrect APP1 Exif Identifier Code in C:\xampp\htdocs\meet_demo\wp-admin\includes\image.php on line 829
[29-Apr-2022 10:17:30 UTC] PHP Warning:  exif_read_data(album-1.jpg): Incorrect APP1 Exif Identifier Code in C:\xampp\htdocs\meet_demo\wp-admin\includes\image.php on line 829
[02-May-2022 04:31:12 UTC] PHP Warning:  exif_read_data(album-1.jpg): Incorrect APP1 Exif Identifier Code in C:\xampp\htdocs\meet_demo\wp-admin\includes\image.php on line 829
[02-May-2022 05:14:51 UTC] PHP Warning:  exif_read_data(album-1.jpg): Incorrect APP1 Exif Identifier Code in C:\xampp\htdocs\meet_demo\wp-admin\includes\image.php on line 829
[02-May-2022 06:04:21 UTC] PHP Parse error:  syntax error, unexpected 'print_r' (T_STRING), expecting ';' or ',' in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\templates\front\vendor-sold-by.php on line 32
[02-May-2022 06:04:50 UTC] PHP Parse error:  syntax error, unexpected 'print_r' (T_STRING), expecting ';' or ',' in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\templates\front\vendor-sold-by.php on line 32
[02-May-2022 06:05:23 UTC] PHP Parse error:  syntax error, unexpected 'print_r' (T_STRING), expecting ';' or ',' in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\templates\front\vendor-sold-by.php on line 32
[02-May-2022 06:06:19 UTC] PHP Parse error:  syntax error, unexpected 'print_r' (T_STRING), expecting ';' or ',' in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\templates\front\vendor-sold-by.php on line 32
[02-May-2022 06:07:04 UTC] PHP Parse error:  syntax error, unexpected 'print_r' (T_STRING), expecting ';' or ',' in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\templates\front\vendor-sold-by.php on line 32
[02-May-2022 06:07:30 UTC] PHP Parse error:  syntax error, unexpected 'print_r' (T_STRING), expecting ';' or ',' in C:\xampp\htdocs\meet_demo\wp-content\plugins\wc-vendors\templates\front\vendor-sold-by.php on line 32
